chip_id	input_id	method	chrom	input_factor	mutant_id
1022_S2-ChIP_1	1022_S2-ChIP-INPUT_1	linear_regression	I	0.06314430062183628	1022
1022_S2-ChIP_1	1022_S2-ChIP-INPUT_1	global_lambda	I	0.06543028060308274	1022
1022_S2-ChIP_1	1022_S2-ChIP-INPUT_1	linear_regression	II	0.05354507920270444	1022
1022_S2-ChIP_1	1022_S2-ChIP-INPUT_1	global_lambda	II	0.052469434026708985	1022
1022_S2-ChIP_1	1022_S2-ChIP-INPUT_1	linear_regression	III	0.07753209184664232	1022
1022_S2-ChIP_1	1022_S2-ChIP-INPUT_1	global_lambda	III	0.07747339175777783	1022
1022_S2-ChIP_2	1022_S2-ChIP-INPUT_1	linear_regression	I	0.12728381681145706	1022
1022_S2-ChIP_2	1022_S2-ChIP-INPUT_1	global_lambda	I	0.1354205172414922	1022
1022_S2-ChIP_2	1022_S2-ChIP-INPUT_1	linear_regression	II	0.10267134583408044	1022
1022_S2-ChIP_2	1022_S2-ChIP-INPUT_1	global_lambda	II	0.10980455603967748	1022
1022_S2-ChIP_2	1022_S2-ChIP-INPUT_1	linear_regression	III	0.17768904565438567	1022
1022_S2-ChIP_2	1022_S2-ChIP-INPUT_1	global_lambda	III	0.1856017087967861	1022
1168_S2-ChIP_1	1168_S2-ChIP-OIN_1	linear_regression	I	0.01727240818163635	1168
1168_S2-ChIP_1	1168_S2-ChIP-OIN_1	global_lambda	I	0.01858202448165249	1168
1168_S2-ChIP_1	1168_S2-ChIP-OIN_1	linear_regression	II	0.021448222521314026	1168
1168_S2-ChIP_1	1168_S2-ChIP-OIN_1	global_lambda	II	0.02279095915208955	1168
1168_S2-ChIP_1	1168_S2-ChIP-OIN_1	linear_regression	III	0.021666557842943617	1168
1168_S2-ChIP_1	1168_S2-ChIP-OIN_1	global_lambda	III	0.023055033153718853	1168
1168_S2-ChIP_2	1168_S2-ChIP-OIN_1	linear_regression	I	0.12574452047948592	1168
1168_S2-ChIP_2	1168_S2-ChIP-OIN_1	global_lambda	I	0.13071351540956005	1168
1168_S2-ChIP_2	1168_S2-ChIP-OIN_1	linear_regression	II	0.10788687987213946	1168
1168_S2-ChIP_2	1168_S2-ChIP-OIN_1	global_lambda	II	0.10648370229363896	1168
1168_S2-ChIP_2	1168_S2-ChIP-OIN_1	linear_regression	III	0.14011395868771634	1168
1168_S2-ChIP_2	1168_S2-ChIP-OIN_1	global_lambda	III	0.14160038009550455	1168
301_S2-ChIP_1	301_S2-ChIP-INPUT_1	linear_regression	I	0.09703367070162404	301
301_S2-ChIP_1	301_S2-ChIP-INPUT_1	global_lambda	I	0.11112918884417143	301
301_S2-ChIP_1	301_S2-ChIP-INPUT_1	linear_regression	II	0.08686493973896002	301
301_S2-ChIP_1	301_S2-ChIP-INPUT_1	global_lambda	II	0.10046667715379372	301
301_S2-ChIP_1	301_S2-ChIP-INPUT_1	linear_regression	III	0.10851354432469704	301
301_S2-ChIP_1	301_S2-ChIP-INPUT_1	global_lambda	III	0.12496735418880242	301
301_S2-ChIP_2	301_S2-ChIP-INPUT_1	linear_regression	I	0.15913220269308487	301
301_S2-ChIP_2	301_S2-ChIP-INPUT_1	global_lambda	I	0.19418286362019155	301
301_S2-ChIP_2	301_S2-ChIP-INPUT_1	linear_regression	II	0.15402577717215432	301
301_S2-ChIP_2	301_S2-ChIP-INPUT_1	global_lambda	II	0.18747050495516754	301
301_S2-ChIP_2	301_S2-ChIP-INPUT_1	linear_regression	III	0.16147354072204587	301
301_S2-ChIP_2	301_S2-ChIP-INPUT_1	global_lambda	III	0.2108305689157805	301
302_S2-ChIP_1	302_S2-ChIP-INPUT_1	linear_regression	I	0.07510230004008436	302
302_S2-ChIP_1	302_S2-ChIP-INPUT_1	global_lambda	I	0.09117473730190576	302
302_S2-ChIP_1	302_S2-ChIP-INPUT_1	linear_regression	II	0.07820873043270539	302
302_S2-ChIP_1	302_S2-ChIP-INPUT_1	global_lambda	II	0.09160028459424394	302
302_S2-ChIP_1	302_S2-ChIP-INPUT_1	linear_regression	III	0.11425547894591832	302
302_S2-ChIP_1	302_S2-ChIP-INPUT_1	global_lambda	III	0.1240635474377698	302
302_S2-ChIP_2	302_S2-ChIP-INPUT_1	linear_regression	I	0.1450704145802968	302
302_S2-ChIP_2	302_S2-ChIP-INPUT_1	global_lambda	I	0.157920105135722	302
302_S2-ChIP_2	302_S2-ChIP-INPUT_1	linear_regression	II	0.1181721120807059	302
302_S2-ChIP_2	302_S2-ChIP-INPUT_1	global_lambda	II	0.13530084680738272	302
302_S2-ChIP_2	302_S2-ChIP-INPUT_1	linear_regression	III	0.16197209641095245	302
302_S2-ChIP_2	302_S2-ChIP-INPUT_1	global_lambda	III	0.17541677410305548	302
324_S2-ChIP_1	324_S2-ChIP-INPUT_1	linear_regression	I	0.021144266984164068	324
324_S2-ChIP_1	324_S2-ChIP-INPUT_1	global_lambda	I	0.021439938334535082	324
324_S2-ChIP_1	324_S2-ChIP-INPUT_1	linear_regression	II	0.018997132545667258	324
324_S2-ChIP_1	324_S2-ChIP-INPUT_1	global_lambda	II	0.01859187143452938	324
324_S2-ChIP_1	324_S2-ChIP-INPUT_1	linear_regression	III	0.026240655862196132	324
324_S2-ChIP_1	324_S2-ChIP-INPUT_1	global_lambda	III	0.027083792995139033	324
324_S2-ChIP_2	324_S2-ChIP-INPUT_1	linear_regression	I	0.03947991751773277	324
324_S2-ChIP_2	324_S2-ChIP-INPUT_1	global_lambda	I	0.04216578188328306	324
